satellite_name,tle_line1,tle_line2
2023-081A,1 56846U 23081A   23187.09797453  .00002518  00000+0  11584-3 0  9995,2 56846  97.4178 261.0506 0015648 174.1389 186.0033 15.21157872  4402
2023-081B,1 56847U 23081B   23187.09511050  .00013000  00000+0  58041-3 0  9990,2 56847  97.4155 261.0418 0014885 176.2749 183.8601 15.21393164  4395
2023-081C,1 56848U 23081C   23187.09282625  .00012178  00000+0  53952-3 0  9995,2 56848  97.4120 261.0373 0015542 177.3746 182.7575 15.21664558  4394
2023-081D,1 56849U 23081D   23187.09216883  .00012110  00000+0  53616-3 0  9992,2 56849  97.4141 261.0462 0015002 178.8352 181.2921 15.21697612  4393
2023-081E,1 56850U 23081E   23187.09190586  .00012282  00000+0  54343-3 0  9993,2 56850  97.4174 261.0584 0015037 179.0204 181.1064 15.21714865  4402
2023-081F,1 56851U 23081F   23187.09391203  .00000586  00000+0  30135-4 0  9991,2 56851  97.4179 261.0452 0015111 178.3342 181.7947 15.20202358  4392
2023-081G,1 56852U 23081G   23187.09156610  .00012205  00000+0  53972-3 0  9997,2 56852  97.4120 261.0394 0015410 178.6926 181.4353 15.21730150  4392
2023-081H,1 56853U 23081H   23187.09075229  .00012241  00000+0  54058-3 0  9990,2 56853  97.4199 261.0690 0015389 179.2214 180.9049 15.21776120  4393
2023-081J,1 56854U 23081J   23187.09085584  .00012246  00000+0  54094-3 0  9991,2 56854  97.4117 261.0391 0015322 179.4662 180.6593 15.21767052  4393
2023-081K,1 56855U 23081K   23187.09045501  .00012393  00000+0  54698-3 0  9990,2 56855  97.4123 261.0417 0015350 179.6941 180.4307 15.21793896  4399
2023-081L,1 56856U 23081L   23187.09025300  .00013490  00000+0  60254-3 0  9990,2 56856  97.4153 261.0584 0015257 179.5054 180.6199 15.21365709  4397
2023-081M,1 56857U 23081M   23187.08848607  .00012585  00000+0  55365-3 0  9994,2 56857  97.4132 261.0473 0015359 181.2784 178.8416 15.21899014  4397
2023-081N,1 56858U 23081N   23187.08554798  .00013976  00000+0  60819-3 0  9995,2 56858  97.4155 261.0598 0017286 183.2673 176.8453 15.22216460  4399
2023-081P,1 56859U 23081P   23187.08769664  .00012408  00000+0  54506-3 0  9991,2 56859  97.4199 261.0728 0016519 180.4768 179.6455 15.21938149  4392
2023-081Q,1 56860U 23081Q   23187.08760723  .00012596  00000+0  55317-3 0  9999,2 56860  97.4116 261.0430 0016430 180.5881 179.5339 15.21943044  4392
2023-081R,1 56861U 23081R   23187.08694713  .00012493  00000+0  54804-3 0  9991,2 56861  97.4138 261.0515 0016851 180.6426 179.4791 15.21977645  4399
2023-081S,1 56862U 23081S   23187.08674049  .00012477  00000+0  54714-3 0  9994,2 56862  97.4172 261.0644 0016817 180.8108 179.3104 15.21990464  4393
2023-081T,1 56863U 23081T   23187.08652404  .00012381  00000+0  54271-3 0  9998,2 56863  97.4178 261.0668 0016846 180.7949 179.3263 15.22005099  4398
2023-081U,1 56864U 23081U   23187.08500651  .00012251  00000+0  53596-3 0  9990,2 56864  97.4185 261.0711 0016905 182.7027 177.4121 15.22075324  4391
2023-081V,1 56865U 23081V   23187.08399110  .00012341  00000+0  53893-3 0  9997,2 56865  97.4185 261.0725 0016809 183.1166 176.9968 15.22134667  4398
2023-081W,1 56866U 23081W   23187.02098789  .00009498  00000+0  42272-3 0  9998,2 56866  97.4179 261.0019 0016164 180.7770 179.3444 15.21568901  4382
2023-081X,1 56867U 23081X   23187.08311083  .00012329  00000+0  53767-3 0  9998,2 56867  97.4185 261.0738 0016763 183.9488 176.1619 15.22183940  4391
2023-081Y,1 56868U 23081Y   23187.08232584  .00013400  00000+0  58278-3 0  9990,2 56868  97.4184 261.0748 0016755 183.8859 176.2250 15.22254488  4404
ZK-1A R/B,1 56869U 23081Z   23186.96478482  .00054062  29557-5  40846-3 0  9991,2 56869  97.3820 262.3329 0157214 284.7695  73.6186 15.57805400  4474
